Movie_Title,average_sentiment_score,Movie_Rank,num_reviews,sentiment_score_ratio,Movie_Review_Rating
Spider-Man: No Way Home,0.7858334808981711,188,6173,0.7850315891786813,8.2
In the Name of the Father,0.785143247793589,198,236,0.8559322033898306,8.1
Barry Lyndon,0.7849581716105004,184,588,0.7874149659863946,8.1
Hotel Rwanda,0.7834787117939223,224,818,0.8361858190709046,8.1
Modern Times,0.7827520874823501,50,415,0.8698795180722891,8.5
Sunset Boulevard,0.7824991940439479,62,786,0.8384223918575063,8.4
Whiplash,0.7821955261507868,39,1893,0.8013734812466984,8.5
Warrior,0.7814893241544545,178,890,0.798876404494382,8.1
Spotlight,0.7805356281941114,215,747,0.8447121820615796,8.1
Smultronstället,0.7804503262491986,211,240,0.875,8.1
Tôkyô monogatari,0.7787687407582141,213,262,0.851145038167939,8.1
"Lock, Stock and Two Smoking Barrels",0.7755380751981096,166,669,0.8161434977578476,8.1
American History X,0.7752346368600075,42,1766,0.8238958097395244,8.5
The Lord of the Rings: The Two Towers,0.7716240456941504,12,2828,0.7945544554455446,8.8
Cidade de Deus,0.771447562220185,26,1244,0.8078778135048231,8.6
A Beautiful Mind,0.7712459997608472,152,1448,0.794889502762431,8.2
Avengers: Infinity War,0.7703713092377198,60,4660,0.7781115879828326,8.4
The Help,0.7691794414770202,246,721,0.8238557558945908,8.1
Se7en,0.7681264208587041,20,2120,0.7943396226415095,8.6
Casino,0.7678093163999866,145,812,0.7931034482758621,8.2
Room,0.7671418368593063,222,844,0.7879146919431279,8.1
Citizen Kane,0.7669564620741225,107,1730,0.784971098265896,8.3
Gone with the Wind,0.7654193691302342,163,1050,0.7923809523809524,8.2
The Big Lebowski,0.7651669539746411,219,1519,0.7880184331797235,8.1
Salinui chueok,0.7643152312681732,193,481,0.7837837837837838,8.1
Harry Potter and the Deathly Hallows: Part 2,0.7637615490827474,177,1155,0.793939393939394,8.1
Rashômon,0.763681740398565,167,437,0.8352402745995423,8.2
Vertigo,0.7636138372888303,110,1119,0.7792672028596962,8.2
Joker,0.7629970896073244,86,11625,0.770236559139785,8.3
La battaglia di Algeri,0.7611652488164727,241,337,0.8516320474777448,8.1
Saving Private Ryan,0.7605245553927056,24,3057,0.7729800457965326,8.6
Det sjunde inseglet,0.7592210761006003,220,437,0.8306636155606407,8.1
Capharnaüm,0.7582308106147402,87,521,0.783109404990403,8.4
Paths of Glory,0.7576293341689477,65,564,0.8049645390070922,8.4
Hamilton,0.7573744593929935,129,777,0.7541827541827542,8.3
Hotaru no haka,0.7540602956589877,37,1089,0.7988980716253443,8.5
Ladri di biciclette,0.7535638693734384,125,405,0.7975308641975308,8.2
Blade Runner,0.7535121095122994,192,1876,0.7809168443496801,8.1
The Dark Knight Rises,0.749632021459423,71,4065,0.7503075030750308,8.4
The Bridge on the River Kwai,0.7496013202435502,173,407,0.800982800982801,8.1
Incendies,0.7491194874195021,97,433,0.76905311778291,8.3
Reservoir Dogs,0.7474369193743431,101,1419,0.7751937984496124,8.3
1917,0.7471416764152093,123,3571,0.7432091851022122,8.2
Million Dollar Baby,0.7462327174432986,180,1441,0.7460097154753643,8.1
Trainspotting,0.743795968595884,172,735,0.7986394557823129,8.1
Shutter Island,0.7435448834884891,137,1744,0.7620412844036697,8.2
Scarface,0.7413184660307826,102,1381,0.7545257060101376,8.3
Django Unchained,0.7410546692990095,53,1968,0.7586382113821138,8.5
Dune: Part Two,0.7408306589949287,58,2737,0.7197661673364998,8.5
V for Vendetta,0.7392034025605176,168,2510,0.7557768924302789,8.1
Avengers: Endgame,0.7388947876881923,74,9620,0.7323284823284824,8.4
Oldeuboi,0.7378764228127686,78,1388,0.7629682997118156,8.3
El laberinto del fauno,0.7347234431432731,150,1436,0.7541782729805014,8.2
La haine,0.7329872735076123,221,311,0.7684887459807074,8.1
Star Wars: Episode VI - Return of the Jedi,0.7313718398284389,92,1038,0.7957610789980732,8.3
Raging Bull,0.7306880596196502,174,709,0.7348377997179125,8.1
Apocalypse Now,0.7303952469088095,55,1486,0.7557200538358008,8.4
Le salaire de la peur,0.7246840547015415,206,216,0.7268518518518519,8.1
Platoon,0.7241128310244699,225,726,0.7493112947658402,8.1
Unforgiven,0.7237512479498319,149,779,0.7715019255455713,8.2
Full Metal Jacket,0.721158196427376,109,1042,0.7648752399232246,8.2
Gisaengchung,0.7180108798126073,34,3732,0.7167738478027867,8.5
American Beauty,0.716938505286736,82,3097,0.7168227316758153,8.3
2001: A Space Odyssey,0.71683048243925,98,2722,0.7105069801616458,8.3
Once Upon a Time in America,0.7155204556274156,88,906,0.6964679911699779,8.3
Taxi Driver,0.7150305784502398,131,1612,0.7357320099255583,8.2
Prisoners,0.7140584618411843,153,1408,0.7357954545454546,8.2
Into the Wild,0.7132435024661948,244,1213,0.7262984336356142,8.0
A Clockwork Orange,0.7094509276126618,118,1787,0.7364297705651931,8.2
Höstsonaten,0.706526876292628,249,116,0.7413793103448276,8.1
Gran Torino,0.7055881967676577,179,1191,0.7497900923593619,8.1
Logan,0.7055724365600898,210,1845,0.7224932249322493,8.1
Oppenheimer,0.7046783595845708,121,4460,0.6757847533632287,8.3
Fargo,0.702590995425334,176,1169,0.72027373823781,8.1
The Departed,0.701158082423539,38,2656,0.6905120481927711,8.5
The Shining,0.6987866183881601,66,2380,0.7210084033613445,8.4
Network,0.6966970472436591,239,475,0.7473684210526316,8.1
The Grapes of Wrath,0.6962125484990618,242,463,0.7300215982721382,8.1
The Exorcist,0.6814775310263659,229,1578,0.7173637515842839,8.1
Kill Bill: Vol. 1,0.6750096407226581,151,2528,0.6685126582278481,8.2
Requiem for a Dream,0.6650741051915117,91,2515,0.6699801192842942,8.3
Jagten,0.6627913717310465,94,623,0.680577849117175,8.3
Idi i smotri,0.6607192586274288,90,717,0.6903765690376569,8.3
Inglourious Basterds,0.6599367982472083,69,2266,0.6557811120917917,8.4
Mad Max: Fury Road,0.6526744694105536,182,2451,0.6332109343125255,8.1
12 Years a Slave,0.6342137393807672,190,1024,0.638671875,8.1
The Wolf of Wall Street,0.628254270343489,128,1952,0.6260245901639344,8.2
"Three Billboards Outside Ebbing, Missouri",0.6281592849947791,170,1432,0.6180167597765364,8.1
The Deer Hunter,0.6257638145712621,205,1283,0.6134060795011691,8.1
There Will Be Blood,0.6213430515490651,142,1633,0.5964482547458665,8.2
Gone Girl,0.59206768607084,194,1874,0.5885805763073639,8.1
No Country for Old Men,0.5915338267718251,147,2277,0.5788317962231005,8.2
